Company, Heuresis Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Pb200i,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type, XRF Lead Paint Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Num.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Version, Pb200i-4.1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color
,213,4.5,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:45:19,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 3,A,Room,Baseboard,Wood,Intact,,White
,214,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:45:55,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 3,C,Door,,Wood,Intact,,White
,215,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:46:11,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 3,C,Door,Frame,Wood,Intact,,White
,216,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:46:27,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 3,C,Door,Jamb,Wood,Intact,,White
,217,4,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:47:15,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 3,D,Window,Frame,Wood,Intact,,White
,218,2.7,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:47:47,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 3,D,Window,Sash,Wood,Intact,,White
,219,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:48:15,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 3,D,Window,Sill,Wood,Intact,,White
,220,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:50:02,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 4,A,Room,Wall,Drywall,Intact,,Purple
,221,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,12:50:26,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 4,B,Door,,Wood,Intact,,White
,222,0.7,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,12:50:52,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 4,B,Door,Jamb,Wood,Intact,,White
