Company, Heuresis Corp.
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2009
App Version, Pb200i-4.1-11

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,34,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:45:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 1,B,Window,Sash,Wood,Intact,,Brown,
,35,-0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:46:47,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 2,C,Window,Sash,Wood,Intact,,Brown,
,36,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:47:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 2,C,Window,Sill,Wood,Intact,,Brown,
,37,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:47:18,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 2,C,Window,Frame,Wood,Intact,,Brown,
,38,-0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:47:39,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 2,D,Room,Wall,Wood,Intact,,Brown,
,39,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:47:57,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 2,D,Door,,Wood,Intact,,Brown,
,40,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:48:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 2,D,Door,Jamb,Wood,Intact,,Brown,
,41,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:48:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 2,D,Door,Frame,Wood,Intact,,Brown,
,42,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:48:57,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,D,Door,Frame,Wood,Intact,,Brown,
,43,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:49:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,D,Door,Jamb,Wood,Intact,,Brown,
,44,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:49:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,D,Door,---,Wood,Intact,,Brown,
,45,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:50:09,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,D,Cabinets,,Wood,Intact,,Black,
,46,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:50:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,D,Room,Wall,Wood,Intact,,White,
,47,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:50:59,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,C,Tub ,,Ceramic,Intact,,White,
,48,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:51:24,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,C,Window,Frame,Wood,Intact,,White,
,49,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:51:53,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,C,Window,Sash,Wood,Intact,,Brown,
,50,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:52:16,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bathroom,C,Window,Sill,Wood,Intact,,Brown,
,51,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:52:43,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 3,C,Window,Sill,Wood,Intact,,Brown,
,52,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:52:58,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 3,C,Window,Sash,Wood,Intact,,Brown,
,53,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:53:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 3,C,Window,Frame,Wood,Intact,,Brown,
,54,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:53:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 3,C,Door,Jamb,Wood,Intact,,Brown,
,55,-0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:53:54,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 3,C,Door,Frame,Wood,Intact,,Brown,
,56,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:54:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 3,C,Door,---,Wood,Intact,,Brown,
,57,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:57:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Door,---,Wood,Intact,,White,
,58,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:57:33,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Door,Frame,Wood,Intact,,White,
,59,-0.4,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:57:57,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Soffit,,Vinyl,Intact,,White,
,60,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:58:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Fascia,,Vinyl,Intact,,White,
,61,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:58:46,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Window,Frame,Vinyl,Intact,,White,
,62,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:59:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Window,Sill,Vinyl,Deteriorated,,White,
