Company, Heuresis Corp.
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2009
App Version, Pb200i-4.1-11

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,206,2.2,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:36:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 2,D,Window,Frame,Wood,Intact,,White,
,207,3.4,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:37:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 2,C,Door,,Wood,Intact,,White,
,208,5.7,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:38:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 2,C,Door,Jamb,Wood,Intact,,White,
,209,2.3,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:38:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 2,C,Door,Frame,Wood,Intact,,White,
,210,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:39:35,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Foyer,C,Room,Floor,Wood,Intact,,Blue,
,211,-0.5,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:40:59,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Hallway,C,Room,Wall,Drywall,Intact,,Green,
,212,2.9,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:42:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Hallway,C,Stair,,Wood,Intact,,White,
,213,4.5,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:45:19,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 3,A,Room,Baseboard,Wood,Intact,,White,
,214,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:45:55,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 3,C,Door,,Wood,Intact,,White,
,215,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:46:11,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 3,C,Door,Frame,Wood,Intact,,White,
,216,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:46:27,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 3,C,Door,Jamb,Wood,Intact,,White,
,217,4.0,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:47:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 3,D,Window,Frame,Wood,Intact,,White,
,218,2.7,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:47:47,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 3,D,Window,Sash,Wood,Intact,,White,
,219,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:48:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 3,D,Window,Sill,Wood,Intact,,White,
,220,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:50:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 4,A,Room,Wall,Drywall,Intact,,Purple,
,221,0.9,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,12:50:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 4,B,Door,,Wood,Intact,,White,
,222,0.7,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,12:50:52,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 4,B,Door,Jamb,Wood,Intact,,White,
,223,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,12:51:20,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 4,B,Door,Frame,Wood,Intact,,White,
,224,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:52:19,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 4,A,Window,Sill,Wood,Intact,,White,
,225,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:52:42,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 4,A,Window,Frame,Wood,Intact,,White,
,226,0.7,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,12:53:12,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 4,A,Window,Sash,Wood,Intact,,White,
,227,0.9,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,12:55:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 5,A,Window,Sash,Wood,Intact,,White,
,228,3.8,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:56:04,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 5,A,Window,Sill,Wood,Intact,,White,
,229,2.7,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:56:32,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 5,A,Window,Frame,Wood,Intact,,White,
,230,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:57:07,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 5,A,Room,Wall,Drywall,Intact,,Red,
,231,1.6,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:57:48,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 5,D,Door,,Wood,Deteriorated,,Brown,
,232,2.8,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:58:27,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 5,D,Door,Jamb,Wood,Intact,,White,
,233,1.8,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,12:58:55,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 5,D,Door,Frame,Wood,Intact,,White,
,234,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:59:40,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Family Room,D,Room,Wall,Drywall,Intact,,Tan,
,235,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:00:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Family Room,A,Window,Sill,Wood,Intact,,White,
,236,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:00:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Family Room,A,Window,Sash,Wood,Intact,,White,
,237,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:00:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Family Room,A,Window,Frame,Wood,Intact,,White,
,238,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:01:33,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 6,B,Door,---,Wood,Intact,,Brown,
,239,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:01:53,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 6,B,Door,Jamb,Wood,Intact,,White,
,240,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:02:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bedroom 6,B,Door,Frame,Wood,Intact,,White,
,241,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:03:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Hallway,A,Room,Wall,Wood,Intact,,White,
,242,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:04:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom 2,A,Room,Wall,Drywall,Intact,,Blue,
,243,2.0,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,13:04:38,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom 2,C,Window,Sill,Wood,Intact,,White,
,244,9.3,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,13:05:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom 2,C,Window,Frame,Wood,Intact,,White,
,245,0.5,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:05:42,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom 2,C,Door,---,Wood,Intact,,White,
,246,1.6,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,13:05:58,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom 2,C,Door,Jamb,Wood,Intact,,White,
,247,4.7,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,13:06:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom 2,C,Door,Frame,Wood,Intact,,White,
,248,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:07:11,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom 2,A,Tub ,,Ceramic,Intact,,White,
,249,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:20:11,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Column,,Wood,Intact,,White,
,250,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:20:46,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Stair,,Concrete,Deteriorated,,Red,
,251,7.5,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,13:21:18,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Soffit,,Wood,Intact,,White,
,252,0.8,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,13:21:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Fascia,,Wood,Intact,,White,
,253,8.1,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,13:22:28,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Window,Frame,Wood,Intact,,White,
,254,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:22:57,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Window,Sill,Wood,Intact,,White,
,255,6.2,mg/cm2,0.3,Positive,false,1.00,false,false,2.00,2022-05-04,13:23:16,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Room,Wall,Wood,Intact,,White,
,256,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:23:54,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Door,,Wood,Intact,,White,
,257,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:24:12,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,A,Door,Frame,Wood,Intact,,White,
,258,0.4,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:25:42,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,D,Room,Wall,Wood,Intact,,White,
,259,0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:26:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,D,Window,Sash,Wood,Deteriorated,,White,
,260,0.5,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:27:41,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,D,Door,,Wood,Intact,,White,
,261,0.7,mg/cm2,0.2,Negative,false,1.00,false,false,4.00,2022-05-04,13:28:07,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,C,Room,Wall,Wood,Intact,,White,
,262,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:28:47,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,C,Window,Sill,Wood,Deteriorated,,White,
,263,0.9,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,13:29:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,C,Window,Sash,Wood,Deteriorated,,White,
,264,0.8,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,13:29:39,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,C,Window,Frame,Wood,Deteriorated,,White,
,265,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:30:32,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,D,Window,Frame,Wood,Intact,,White,
,266,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:30:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,D,Window,Sill,Wood,Intact,,White,
,267,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,13:31:16,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,House,D,Room,Wall,Wood,Intact,,White,
,268,0.9,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,13:33:56,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,Calibration,D,Room,Wall,Wood,Intact,,White,
,269,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,13:34:17,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,Calibration,D,Room,Wall,Wood,Intact,,White,
,270,0.9,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,13:34:38,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,Calibration,D,Room,Wall,Wood,Intact,,White,
